symbol,ub_symbol,sub.uniport,ub.uniport,ub.type
HIPK2,MDM2,Q9QZR5,P23804,E3
ACE2,MDM2,Q8R0I0,P23804,E3
TSG101,MGRN1,Q61187,Q9D074,E3
MIB1,MIB1,Q80SY4,Q80SY4,E3
DLL3,MIB1,O88516,Q80SY4,E3
DAPK1,MIB1,Q80YE7,Q80SY4,E3
DLL4,MIB1,Q9JI71,Q80SY4,E3
DLL1,MIB1,Q61483,Q80SY4,E3
DLL1,MIB2,Q61483,Q8R516,E3
DLL4,MIB2,Q9JI71,Q8R516,E3
CYLD,MIB2,Q80TQ2,Q8R516,E3
GPX4,MIB2,O70325,Q8R516,E3
DLL3,MIB2,O88516,Q8R516,E3
PRM2,MID1,P07978,O70583,E3
TP53,MKRN1,P02340,Q9QXP6,E3
CDKN1A,MKRN1,P39689,Q9QXP6,E3
AKT1,MUL1,P31750,Q8VCM5,E3
AKT2,MUL1,Q60823,Q8VCM5,E3
TSC2,MYCBP2,Q3UGI8,Q7TPH6,E3
NMNAT2,MYCBP2,Q8BNJ3,Q7TPH6,E3
LRP8,MYLIP,Q924X6,Q8BM54,E3
LDLR,MYLIP,P35951,Q8BM54,E3
MYLIP,MYLIP,Q8BM54,Q8BM54,E3
NDFIP2,NEDD4,Q91ZP6,P46935,E3
CBLB,NEDD4,Q3TTA7,P46935,E3
BCL10,NEDD4,Q9Z0H7,P46935,E3
SYK,NEDD4,P48025,P46935,E3
GGA3,NEDD4,Q8BMI3,P46935,E3
TRPA1,NEDD4,Q8BLA8,P46935,E3
SNCA,NEDD4,O55042,P46935,E3
VHL,NEDD4,P40338,P46935,E3
LYN,NEDD4,P25911,P46935,E3
FOXA1,NEDD4,P35582,P46935,E3
PTEN,NEDD4,O08586,P46935,E3
NEDD4,NEDD4,P46935,P46935,E3
NDFIP1,NEDD4,Q8R0W6,P46935,E3
PPP3CA,NEDD4L,P63328,Q8CFI0,E3
SCN5A,NEDD4L,Q9JJV9,Q8CFI0,E3
CTNNB1,NEDD4L,Q02248,E9PXB7,E3
SCN8A,NEDD4L,Q9WTU3,Q8CFI0,E3
SLC38A2,NEDD4L,Q8CFE6,Q8CFI0,E3
SCNN1A,NEDD4L,Q61180,Q8CFI0,E3
SNCA,NEDD4L,O55042,E9PXB7,E3
GRIA1,NEDD4L,P23818,Q8CFI0,E3
SCNN1G,NEDD4L,Q9WU39,Q8CFI0,E3
SCN9A,NEDD4L,Q62205,Q8CFI0,E3
ULK1,NEDD4L,O70405,E9PXB7,E3
SMAD2,NEDD4L,Q62432,Q8CFI0,E3
SGK1,NEDD4L,Q9WVC6,Q8CFI0,E3
NRG1,NEDD4L,Q6DR99,E9PXB7,E3
CLCN5,NEDD4L,Q9WVD4,Q8CFI0,E3
SCN10A,NEDD4L,Q6QIY3,Q8CFI0,E3
NDFIP2,NEDD4L,Q91ZP6,Q8CFI0,E3
YBX1,NEDD4L,P62960,E9PXB7,E3
PDE9A,NEURL1,O70628,Q923S6,E3
JAG1,NEURL1,Q9QXX0,Q923S6,E3
DLL1,NEURL1B,Q61483,Q0MW30,E3
DLL3,NEURL1B,O88516,Q0MW30,E3
DLL4,NEURL1B,Q9JI71,Q0MW30,E3
CTNNB1,NEURL2,Q02248,Q9D0S4,E3
PPP1R3C,NHLRC1,Q7TMB3,Q8BR37,E3
EPM2A,NHLRC1,Q9WUA5,Q8BR37,E3
EPOR,NOSIP,P14753,Q9D6T0,E3
STAT1,OTULIN,A0A087WSP5,Q3UCV8,E3
PCNA,PAXIP1,P17918,Q6NZQ4,E3
RELA,PDLIM2,Q04207,Q8R1G6,E3
STAT1,PDLIM2,P42225,Q8R1G6,E3
MUSK,PDZRN3,Q61006,Q69ZS0,E3
IRAK1,PELI1,Q62406,Q8C669,E3
RALBP1,PELI1,Q62172,Q8C669,E3
SLC6A4,PJA1,Q60857,O55176,E3
MAGED1,PJA1,Q9QYH6,O55176,E3
PRKN,PRKN,Q9WVS6,Q9WVS6,E3
RANBP2,PRKN,Q9ERU9,Q9WVS6,E3
AIMP2,PRKN,Q8R010,Q9WVS6,E3
VDAC3,PRKN,Q60931,Q9WVS6,E3
GPR37,PRKN,Q9QY42,Q9WVS6,E3
FIS1,PRKN,Q9CQ92,Q9WVS6,E3
PCNA,RAD18,P17918,Q9QXK2,E3
TP53BP1,RAD18,P70399,Q9QXK2,E3
RAG1,RAG1,P15919,P15919,E3
KPNA1,RAG1,Q60960,P15919,E3
ICOS,RC3H1,Q9WVS0,Q4VGL6,E3
CDKN1B,RCHY1,P46414,Q9CR50,E3
TP53,RFFL,P02340,Q6ZQM0,E3
RFFL,RFFL,Q6ZQM0,Q6ZQM0,E3
TP53,RFWD3,P02340,Q8CIK8,E3
PDE5A,RHOBTB1,Q8CG03,Q9DAK3,E3
LDB1,RLIM,P70662,Q9WTV7,E3
LDB2,RLIM,O55203,Q9WTV7,E3
LIMK1,RLIM,P53668,Q9WTV7,E3
TERF1,RLIM,P70371,Q9WTV7,E3
HDAC2,RLIM,P70288,Q9WTV7,E3
CDKN1B,RNF123,P46414,Q5XPI3,E3
DDX58,RNF125,Q6Q899,Q9D9R0,E3
SIRT1,RNF128,Q923E4,Q9D304,E3
DDX58,RNF135,Q6Q899,Q9CWS1,E3
PRKDC,RNF144A,P97313,Q925F3,E3
CD274,RNF144A,Q9EP73,Q925F3,E3
LIN28B,RNF144A,Q45KJ6,Q925F3,E3
LCMT2,RNF144B,Q8BYR1,Q8BKD6,E3
RHEB,RNF152,Q921J2,Q8BG47,E3
TLR3,RNF170,Q99MB1,Q8CBG9,E3
ZIC2,RNF180,Q62520,Q3U827,E3
ATP6V0C,RNF182,P63082,Q8C432,E3
TNFRSF10B,RNF183,Q9QZM4,Q8QZS5,E3
EPHB2,RNF186,P54763,Q9D241,E3
CASR,RNF19A,Q9QY96,P50636,E3
SOD1,RNF19A,P08228,P50636,E3
UCKL1,RNF19B,Q91YL3,A2A7Q9,E3
H2AB1,RNF2,Q9CQ70,Q9CQJ4,E3
RNF2,RNF2,Q9CQJ4,Q9CQJ4,E3
RYBP,RNF2,Q8CCI5,Q9CQJ4,E3
H2BC1,RNF20,P70696,Q5DTM8,E3
RNF216,RNF216,P58283,P58283,E3
PRKACB,RNF216,P68181,P58283,E3
TARDBP,RNF220,Q921F2,Q6PDX6,E3
SIN3B,RNF220,Q62141,Q6PDX6,E3
STAT1,RNF220,A0A087WSP5,Q6PDX6,E3
RNF220,RNF220,Q6PDX6,Q6PDX6,E3
STAT1,RNF31,A0A087WSP5,Q924T7,E3
TNFAIP3,RNF31,Q60769,Q924T7,E3
CYBA,RNF34,Q61462,Q99KR6,E3
PPARGC1A,RNF34,O70343,Q99KR6,E3
RNF4,RNF4,Q9QZS2,Q9QZS2,E3
ETV4,RNF4,P28322,Q9QZS2,E3
PARP1,RNF4,P11103,Q9QZS2,E3
H2BC1,RNF40,P70696,Q3U319,E3
ERBB3,RNF41,Q61526,Q8BH75,E3
CLEC9A,RNF41,Q8BRU4,Q8BH75,E3
CEBPA,RNF41,P53566,Q8BH75,E3
RNF41,RNF41,Q8BH75,Q8BH75,E3
RNF43,RNF43,Q5NCP0,Q5NCP0,E3
S100A8,RNF5,P27005,O35445,E3
PXN,RNF5,Q8VI36,O35445,E3
JKAMP,RNF5,Q8BI36,O35445,E3
STING1,RNF5,Q3TBT3,O35445,E3
SYVN1,RNF5,Q9DBY1,O35445,E3
AR,RNF6,P19091,Q9DBU5,E3
LIMK1,RNF6,P53668,Q9DBU5,E3
AKT1,RNF8,P31750,Q8VC56,E3
H2AB1,RNF8,Q9CQ70,Q8VC56,E3
H2BC7,RNF8,P10853,Q8VC56,E3
EGLN1,SIAH1A,Q91YE3,P61092,E3
MYB,SIAH1A,P06876,P61092,E3
CTNNB1,SIAH1A,Q02248,P61092,E3
PML,SIAH1A,Q60953,P61092,E3
EGLN3,SIAH1A,Q91UZ4,P61092,E3
PLCE1,SIAH1A,Q8K4S1,P61092,E3
DYRK2,SIAH2,Q5U4C9,Q06986,E3
EGLN3,SIAH2,Q91UZ4,Q06986,E3
LATS2,SIAH2,Q7TSJ6,Q06986,E3
NCOR1,SIAH2,Q60974,Q06986,E3
PML,SIAH2,Q60953,Q06986,E3
EGLN1,SIAH2,Q91YE3,Q06986,E3
TRAF2,SIAH2,P39429,Q06986,E3
SLC8A3,SIAH2,S4R2P9,Q06986,E3
AKAP1,SIAH2,O08715,Q06986,E3
PLCE1,SIAH2,Q8K4S1,Q06986,E3
CCNE1,SKP2,Q61457,Q9Z0Z3,E3
CDKN1A,SKP2,P39689,Q9Z0Z3,E3
CTNNB1,SKP2,Q02248,Q9Z0Z3,E3
MYC,SKP2,P01108,Q9Z0Z3,E3
NFKBIE,SKP2,O54910,Q9Z0Z3,E3
NFKBIB,SKP2,Q60778,Q9Z0Z3,E3
USP18,SKP2,Q9WTV6,Q9Z0Z3,E3
CDKN1B,SKP2,P46414,Q9Z0Z3,E3
BECN1,SKP2,O88597,Q9Z0Z3,E3
NFKBIA,SKP2,Q9Z1E3,Q9Z0Z3,E3
FOXO1,SKP2,Q9R1E0,Q9Z0Z3,E3
FGD1,SKP2,P52734,Q9Z0Z3,E3
CDKN1C,SKP2,P49919,Q9Z0Z3,E3
MAP3K2,SMURF1,Q61083,Q9CUN6,E3
SMAD5,SMURF1,P97454,Q9CUN6,E3
TRAF3,SMURF1,Q60803,Q9CUN6,E3
RHOA,SMURF1,Q9QUI0,Q9CUN6,E3
RUNX2,SMURF1,Q08775,Q9CUN6,E3
TRAF3IP2,SMURF1,Q8N7N6,Q9CUN6,E3
SMAD1,SMURF1,P70340,Q9CUN6,E3
SATB1,SMURF2,Q60611,A2A5Z6,E3
YY1,SMURF2,Q00899,A2A5Z6,E3
SMAD7,SMURF2,O35253,A2A5Z6,E3
STAMBP,SMURF2,Q9CQ26,A2A5Z6,E3
GSK3A,SMURF2,Q2NL51,A2A5Z6,E3
CTNNB1,SMURF2,Q02248,A2A5Z6,E3
RNF20,SMURF2,Q5DTM8,A2A5Z6,E3
RUNX2,SMURF2,Q08775,A2A5Z6,E3
RAP1B,SMURF2,Q99JI6,A2A5Z6,E3
RELA,SOCS1,Q04207,O35716,E3
IRS1,SOCS1,P35569,O35716,E3
IRS2,SOCS1,P81122,O35716,E3
SOCS3,SOCS2,O35718,O35717,E3
IRS2,SOCS3,P81122,O35718,E3
IRS1,SOCS3,P35569,O35718,E3
BMI1,SPOP,P25916,Q6ZWS8,E3
MACROH2A1,SPOP,Q9QZQ8,Q6ZWS8,E3
MYC,SPOP,P01108,Q6ZWS8,E3
PDHX,SPOP,Q8BKZ9,Q6ZWS8,E3
DAXX,SPOP,O35613,Q6ZWS8,E3
CDKN1A,SPSB1,P39689,Q9D5L7,E3
MAP3K12,STUB1,Q60700,Q9WUD1,E3
GATA4,STUB1,Q08369,Q9WUD1,E3
MAPT,STUB1,P10637,Q9WUD1,E3
RUNX2,STUB1,Q08775,Q9WUD1,E3
HTT,STUB1,P42859,Q9WUD1,E3
AHR,STUB1,P30561,Q9WUD1,E3
SOD1,STUB1,P08228,Q9WUD1,E3
DLK1,STUB1,Q09163,Q9WUD1,E3
NOS1,STUB1,Q9Z0J4,Q9WUD1,E3
STUB1,STUB1,Q9WUD1,Q9WUD1,E3
SGK1,STUB1,Q9WVC6,Q9WUD1,E3
AKT1,STUB1,P31750,Q9WUD1,E3
RAF1,STUB1,Q99N57,Q9WUD1,E3
HSPA8,STUB1,P63017,Q9WUD1,E3
ESR1,STUB1,P19785,Q9WUD1,E3
MKKS,STUB1,Q9JI70,Q9WUD1,E3
SMAD3,STUB1,Q8BUN5,Q9WUD1,E3
TP53,SYVN1,P02340,Q9DBY1,E3
SGK1,SYVN1,Q9WVC6,Q9DBY1,E3
MAFA,SYVN1,Q8CF90,Q9DBY1,E3
ERN1,SYVN1,Q9EQY0,Q9DBY1,E3
PFKP,SYVN1,Q9WUA3,Q9DBY1,E3
NCSTN,SYVN1,P57716,Q9DBY1,E3
NFE2L2,SYVN1,Q60795,Q9DBY1,E3
MAVS,SYVN1,Q8VCF0,Q9DBY1,E3
CTNNB1,TBL1X,Q02248,Q9QXE7,E3
RHOA,TNFAIP1,Q9QUI0,O70479,E3
NKX3-1,TOPORS,P97436,Q80Z37,E3
TRAF3,TRAF2,Q60803,P39429,E3
SRC,TRAF2,P05480,P39429,E3
MLST8,TRAF2,Q9DCJ1,P39429,E3
MAP3K14,TRAF2,Q9WUL6,P39429,E3
TNFAIP3,TRAF3,Q60769,Q60803,E3
MAP3K14,TRAF3,Q9WUL6,Q60803,E3
MAP3K5,TRAF6,O35099,P70196,E3
BIRC3,TRAF6,O08863,P70196,E3
TRAF6,TRAF6,P70196,P70196,E3
EZH2,TRAF6,Q61188,P70196,E3
NR2C2,TRAF6,P49117,P70196,E3
AKT1,TRAF6,P31750,P70196,E3
BIRC2,TRAF6,Q62210,P70196,E3
FOXP3,TRAF6,Q99JB6,P70196,E3
CASP8,TRAF6,O89110,P70196,E3
MAP3K7,TRAF6,Q62073,P70196,E3
ECSIT,TRAF6,Q9QZH6,P70196,E3
TNFAIP3,TRAF6,Q60769,P70196,E3
RAB7A,TRAF6,P51150,P70196,E3
IKBKG,TRAF6,O88522,P70196,E3
RIPK2,TRAF6,P58801,P70196,E3
PTEN,TRIM10,O08586,Q9WUH5,E3
PAX6,TRIM11,P63015,Q99PQ2,E3
MED15,TRIM11,Q924H2,Q99PQ2,E3
DDIT3,TRIM13,P35639,Q9CYB0,E3
TRIM17,TRIM17,Q7TPM3,Q7TPM3,E3
NEFL,TRIM2,P08551,Q9ESN6,E3
IKBKB,TRIM21,O88351,Q62191,E3
IRF8,TRIM21,P23611,Q62191,E3
DDX41,TRIM21,Q91VN6,Q3U7K7,E3
NUP62,TRIM21,Q63850,Q3U7K7,E3
CD274,TRIM21,Q9EP73,Q3U7K7,E3
SOCS3,TRIM21,O35718,Q3U7K7,E3
ANO1,TRIM21,Q8BHY3,Q3U7K7,E3
USP4,TRIM21,P35123,Q62191,E3
ANO1,TRIM23,Q8BHY3,Q8BGX0,E3
DDX58,TRIM25,Q6Q899,Q61510,E3
IFIH1,TRIM25,Q8R5F7,Q61510,E3
PPARG,TRIM25,P37238,Q61510,E3
SLC7A11,TRIM26,Q9WTR6,Q99PN3,E3
BCL2A1,TRIM28,Q07440,Q62318,E3
TLR3,TRIM3,Q99MB1,Q9R1R2,E3
MAVS,TRIM31,Q8VCF0,Q8R0K2,E3
TRIM31,TRIM31,Q8R0K2,Q8R0K2,E3
MYC,TRIM32,P01108,Q8CH72,E3
PIAS4,TRIM32,Q9JM05,Q8CH72,E3
TRIM32,TRIM32,Q8CH72,Q8CH72,E3
DTNBP1,TRIM32,Q91WZ8,Q8CH72,E3
ABI2,TRIM32,P62484,Q8CH72,E3
SMAD4,TRIM33,P97471,Q99PP7,E3
TRIM37,TRIM37,Q6PCX9,Q6PCX9,E3
TRAF6,TRIM38,P70196,Q5SZ99,E3
FOXO1,TRIM47,Q9R1E0,Q8C0E3,E3
STING1,TRIM56,Q3TBT3,Q80VI1,E3
ABHD5,TRIM59,Q9DBL9,Q922Y2,E3
MYL2,TRIM63,P51667,Q38HM4,E3
MYBPC2,TRIM63,Q5XKE0,Q38HM4,E3
TNNI3,TRIM63,P48787,Q38HM4,E3
CKM,TRIM63,P07310,Q38HM4,E3
MYLPF,TRIM63,P97457,Q38HM4,E3
MYL1,TRIM63,P05977,Q38HM4,E3
DUSP6,TRIM65,Q9DBB1,Q8BFW4,E3
ARHGAP35,TRIM65,Q91YM2,Q8BFW4,E3
IRS1,TRIM72,P35569,Q1XH17,E3
MAP3K7,TRIM8,Q62073,Q99PJ2,E3
NFKBIA,TRPC4AP,Q9Z1E3,Q9JLV2,E3
AKT1,TTC3,P31750,O88196,E3
AKT2,TTC3,Q60823,O88196,E3
AKT3,TTC3,Q9WUA6,O88196,E3
PRKAA2,UBE2O,Q8BRK8,Q6ZPJ3,E3
SNCA,UBE3A,O55042,O08759,E3
TP53,UBE3A,P02340,O08759,E3
KMT2D,UBE3A,A0A0A0MQ73,O08759,E3
RAB3A,UBE3A,P63011,O08759,E3
RPH3A,UBE3A,P47708,O08759,E3
RHO,UBR1,P15409,O70481,E3
HAT1,UBR4,Q8BY71,A2AN08,E3
HIF1A,VHL,Q61221,P40338,E3
EPAS1,VHL,P97481,P40338,E3
ERBB4,WWP1,Q61527,Q8BZZ3,E3
KLF15,WWP1,Q9EPW2,Q8BZZ3,E3
WWP1,WWP1,Q8BZZ3,Q8BZZ3,E3
DVL2,WWP1,Q60838,Q8BZZ3,E3
JUNB,WWP1,P09450,Q8BZZ3,E3
RUNX2,WWP1,Q08775,Q8BZZ3,E3
SMAD6,WWP1,O35182,Q8BZZ3,E3
TP53,WWP1,P02340,Q8BZZ3,E3
EGR2,WWP2,P08152,Q9DBH0,E3
WWP2,WWP2,Q9DBH0,Q9DBH0,E3
DCTN6,WWP2,Q9WUB4,Q9DBH0,E3
SMAD2,WWP2,Q62432,Q9DBH0,E3
RUNX2,WWP2,Q08775,Q9DBH0,E3
PTEN,WWP2,O08586,Q9DBH0,E3
SLC11A2,WWP2,P49282,Q9DBH0,E3
POLR2A,WWP2,P08775,Q9DBH0,E3
NR0B2,WWP2,Q62227,Q9DBH0,E3
POU5F1,WWP2,P20263,Q9DBH0,E3
SOX2,WWP2,P48432,Q9DBH0,E3
KLF5,WWP2,Q9Z0Z7,Q9DBH0,E3
SEPTIN4,WWP2,P28661,Q9DBH0,E3
MAP3K2,XIAP,Q61083,Q60989,E3
PTEN,XIAP,O08586,Q60989,E3
COMMD1,XIAP,Q8K4M5,Q60989,E3
CCNB1,ZC3HC1,P24860,Q80YV2,E3
CAV1,ZNRF1,P49817,Q91V17,E3
ZSWIM2,ZSWIM2,Q9D9X6,Q9D9X6,E3
ARHGEF15,UBE3A,Q5FWH6,Q5DTH1,E3
CRY1,DDB1,P97784,Q3U1J4,E3
RNF220,RNF220,Q8HXD5,Q8HXD5,E3
MDM2,MDM2,Q60524,Q60524,E3
H2-D1,K3,P01899,O41933,E3
H2-K1,K3,P01901,O41933,E3
H2-D1,K3,Q95457,O41933,E3
CD4,LAP,P46630,Q997C2,E3
RAG1,RAG1,P34088,P34088,E3
-,RAG1,P84234,Q91187,E3
SPIN1,SPL11,Q75GR5,Q653Z5,E3
XA21,XB3,Q40640,Q65XV2,E3
HDAC1,CHFR,Q5RAG0,Q5RF77,E3
SMAD2,NEDD4L,Q5R7C0,Q5RBF2,E3
CLCN5,NEDD4L,Q5RBK4,Q5RBF2,E3
BMI1,SPOP,Q5R8L2,Q5NVK7,E3
RHOA,TNFAIP1,Q5REY6,Q5RBH4,E3
FEN,HOPAB2,P93216,Q8RSY1,E3
SORBS2,CBL,O35413,D3ZV15,E3
FGFR1,CBL,Q04589,D3ZV15,E3
PDGFRB,CBL,Q05030,D3ZV15,E3
IL2,CBL,P17108,D3ZV15,E3
FGFR4,CBL,Q498D6,D3ZV15,E3
PDGFRA,CBL,P20786,D3ZV15,E3
PLCG1,CBLB,P10686,Q8K4S7,E3
SH3KBP1,CBLB,Q925Q9,Q8K4S7,E3
SYK,CBLB,Q64725,Q8K4S7,E3
CBLB,CBLB,Q8K4S7,Q8K4S7,E3
TP53,COP1,P10361,Q5BJY0,E3
TSC2,DELETED,P49816,D4A722,E3
TP53,FBXO11,P10361,Q7TSL3,E3
EID1,FBXO21,B1WC74,B0BNL1,E3
ABCB1,FBXO21,P43245,B0BNL1,E3
SMAD7,FBXO31,O88406,B2RYN2,E3
CCND1,FBXO31,P39948,B2RYN2,E3
TNNI3,FBXO32,P23693,Q91Z62,E3
DUSP1,FBXO32,Q64623,Q91Z62,E3
CHEK1,FBXO6,Q91ZN7,Q923V4,E3
TRAF3,HECTD3,A0A0G2K7X2,F1LVZ9,E3
TP53,HUWE1,P10361,P51593,E3
PGAM5,KEAP1,Q562B5,P57790,E3
NFE2L2,KEAP1,O54968,P57790,E3
GRIK2,KLHL17,P42260,Q8K430,E3
AURKB,KLHL21,O55099,D4A2K4,E3
LIMK1,LHX1,P53669,P63007,E3
MAPK3,MAP3K1,P21708,Q62925,E3
JUN,MAP3K1,P17325,Q62925,E3
MAPK1,MAP3K1,P63086,Q62925,E3
CD4,MARCHF11,P05540,A6P320,E3
TFRC,MARCHF2,Q99376,Q5I0I2,E3
GRK2,MDM2,P26817,D3ZVH5,E3
MYLIP,MYLIP,D3ZDI6,D3ZDI6,E3
LDLR,MYLIP,P35952,D3ZDI6,E3
NOTCH1,NEDD4,Q07008,Q62940,E3
SLC1A1,NEDD4,P51907,Q62940,E3
NTRK1,NEDD4,P35739,Q62940,E3
NDFIP1,NEDD4,Q5U2S1,Q62940,E3
EPM2A,NHLRC1,Q91XQ2,Q6IMG5,E3
PPP1R3C,NHLRC1,Q5U2R5,Q6IMG5,E3
MUSK,PDZRN3,Q62838,P68907,E3
PRKN,PRKN,Q9JK66,Q9JK66,E3
GPR37,PRKN,Q9QYC6,Q9JK66,E3
SEPTIN5,PRKN,Q9JJM9,Q9JK66,E3
AIMP2,PRKN,Q32PX2,Q9JK66,E3
ATP6V0C,RNF182,P63081,D3ZBM4,E3
H2AC18,RNF2,P0CC09,Q4KLY4,E3
RNF4,RNF4,O88846,O88846,E3
PXN,RNF5,Q66H76,Q5M807,E3
SYP,SIAH1,P07825,Q920M9,E3
SNCA,SIAH2,P37377,Q8R4T2,E3
AKAP1,SIAH2,O88884,Q8R4T2,E3
SYP,SIAH2,P07825,Q8R4T2,E3
PSMD9,SKP2,Q9WTV5,B2GUZ0,E3
CDKN1B,SKP2,O08769,B2GUZ0,E3
SMAD7,SMURF1,O88406,D3ZCF5,E3
EZH2,SMURF2,B5DFE2,F1M3F2,E3
SKIL,SMURF2,D3ZWL1,F1M3F2,E3
ARC,STUB1,Q63053,D4A4T0,E3
RHOA,TNFAIP1,P61589,Q7TNY1,E3
TRAF6,TRAF6,B5DF45,B5DF45,E3
SOD1,TRAF6,P07632,B5DF45,E3
TRIM17,TRIM17,Q9WV59,Q9WV59,E3
NLRP1A,TRIM25,D9I2F9,Q6P7B3,E3
NFKBIA,TRIM52,Q63746,D3ZJ28,E3
DUSP1,TRIM55,Q64623,Q5PQN5,E3
TNNI3,TRIM63,P23693,Q91Z63,E3
NFKBIA,TRIM8,Q63746,D3ZQE3,E3
BMP7,UBE4A,G3V6W8,Q6P7A2,E3
PARP1,WWP2,P27008,B4F767,E3
CD4,S153R,P46630,Q9Q8T2,E3
IRF3,-,Q14653,B3SRS0,E3
CLB1,AMA1,P24868,P50082,E3
PDS1,AMA1,P40316,P50082,E3
CLB5,AMA1,P30283,P50082,E3
HTB1,BRE1,P02293,Q07457,E3
HTB2,BRE1,P02294,Q07457,E3
SWD2,BRE1,P36104,Q07457,E3
KIP1,CDC20,P28742,P26309,E3
CLB5,CDC20,P30283,P26309,E3
SPO13,CDC20,P23624,P26309,E3
MPS1,CDC20,P54199,P26309,E3
CLB2,CDC20,P24869,P26309,E3
PDS1,CDC20,P40316,P26309,E3
HSL1,CDC20,P34244,P26309,E3
ACM1,CDC20,Q08981,P26309,E3
UME6,CDC20,P39001,P26309,E3
CLB3,CDC20,P24870,P26309,E3
RCN1,CDC4,P36054,P07834,E3
HSL1,CDC4,P34244,P07834,E3
CLN2,CDC4,P20438,P07834,E3
CDC4,CDC4,P07834,P07834,E3
GCN4,CDC4,P03069,P07834,E3
CTF13,CDC4,P35203,P07834,E3
CDC6,CDC4,P09119,P07834,E3
STE5,CDC4,P32917,P07834,E3
FAR1,CDC4,P21268,P07834,E3
CLB6,CDC4,P32943,P07834,E3
HAC1,CDC4,P41546,P07834,E3
SWI5,CDC4,P08153,P07834,E3
SIC1,CDC4,P38634,P07834,E3
TEC1,CDC4,P18412,P07834,E3
ASE1,CDH1,P50275,P53197,E3
ACM1,CDH1,Q08981,P53197,E3
CDC20,CDH1,P26309,P53197,E3
HSL1,CDH1,P34244,P53197,E3
CLB5,CDH1,P30283,P53197,E3
MPS1,CDH1,P54199,P53197,E3
CDC5,CDH1,P32562,P53197,E3
FIN1,CDH1,Q03898,P53197,E3
PDS1,CDH1,P40316,P53197,E3
CIN8,CDH1,P27895,P53197,E3
IQG1,CDH1,Q12280,P53197,E3
CLB2,CDH1,P24869,P53197,E3
CLB3,CDH1,P24870,P53197,E3
CTF13,CTF13,P35203,P35203,E3
TEC1,DIA2,P18412,Q08496,E3
RPO21,ELA1,P04050,P53861,E3
CLN2,GRR1,P20438,P24814,E3
MKS1,GRR1,P34072,P24814,E3
GIC2,GRR1,Q06648,P24814,E3
STD1,GRR1,Q02794,P24814,E3
FBP1,GRR1,P09201,P24814,E3
IME2,GRR1,P32581,P24814,E3
CLN1,GRR1,P20437,P24814,E3
GRR1,GRR1,P24814,P24814,E3
MTH1,GRR1,P35198,P24814,E3
GIS4,GRR1,Q04233,P24814,E3
HOF1,GRR1,Q05080,P24814,E3
SIC1,GRR1,P38634,P24814,E3
GAL2,GRR1,P13181,P24814,E3
NCE103,HEYL,P53615,-,E3
HRD1,HRD1,Q08109,Q08109,E3
PDR5,HRD1,P33302,Q08109,E3
HMG2,HRD1,P12684,Q08109,E3
CDC48,HRD1,P25694,Q08109,E3
HMG1,HRD1,P12683,Q08109,E3
DER1,HRD1,P38307,Q08109,E3
PRC1,HRD1,P00729,Q08109,E3
SEC61,HRD1,P32915,Q08109,E3
HRT3,HRT3,Q12347,Q12347,E3
MDM34,MDM30,P53083,Q05930,E3
FZO1,MDM30,P38297,Q05930,E3
GAL4,MDM30,P04386,Q05930,E3
SWE1,MET30,P32944,P39014,E3
CLN3,MET30,P13365,P39014,E3
MET4,MET30,P32389,P39014,E3
MET30,MET30,P39014,P39014,E3
CSE4,MET30#CDC4,P36012,P39014#P07834,E3
EGD1,MOT2,Q02642,P34909,E3
EGD2,MOT2,P38879,P34909,E3
YSH1,MPE1,Q06224,P35728,E3
NAM7,NAM7,P30771,P30771,E3
NFI1,NFI1,Q12216,Q12216,E3
RDS2,PIB1,P19541,Q06651,E3
CSE4,PSH1,P36012,Q12161,E3
HO,RAD18,P09932,P10862,E3
RAD5,RAD18,P32849,P10862,E3
POL30,RAD18,P15873,P10862,E3
POL30,RAD5,P15873,P32849,E3
RAD4,RAD7,P14736,P06779,E3
FBP1,RMD5,P09201,Q12508,E3
SNA4,RSP5,Q07549,P39940,E3
RPC25,RSP5,P35718,P39940,E3
VPS9,RSP5,P54787,P39940,E3
YMR181C,RSP5,Q03231,P39940,E3
ZRT1,RSP5,P32804,P39940,E3
TAF3,RSP5,Q12297,P39940,E3
ROG3,RSP5,P43602,P39940,E3
STE2,RSP5,D6VTK4,P39940,E3
ACK1,RSP5,Q07622,P39940,E3
ART10,RSP5,P18634,P39940,E3
LSB1,RSP5,P53281,P39940,E3
GAL2,RSP5,P13181,P39940,E3
HPR1,RSP5,P17629,P39940,E3
SNA3,RSP5,P14359,P39940,E3
CUE5,RSP5,Q08412,P39940,E3
ROD1,RSP5,Q02805,P39940,E3
BSD2,RSP5,P38356,P39940,E3
RSA1,RSP5,Q08932,P39940,E3
SRP40,RSP5,P32583,P39940,E3
YIP5,RSP5,P53108,P39940,E3
YKL023W,RSP5,P36103,P39940,E3
RPN10,RSP5,P38886,P39940,E3
ALY1,RSP5,P36117,P39940,E3
BXI1,RSP5,P48558,P39940,E3
CTR1,RSP5,P49573,P39940,E3
MVB12,RSP5,P42939,P39940,E3
NOP53,RSP5,Q12080,P39940,E3
WWM1,RSP5,P43582,P39940,E3
SLA1,RSP5,P32790,P39940,E3
EAF7,RSP5,P53911,P39940,E3
PGI1,RSP5,P12709,P39940,E3
PRC1,RSP5,P00729,P39940,E3
